# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity hidden --mixer vdn --seed 4 --total-steps 2000000 --out results_smax/smax_2s3z_vdn_correlated_hidden_s4.npz
2026-06-10 19:55:29.644738: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 4, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'hidden', 'mixer': 'vdn', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter=     0  env_steps=        0  eps=1.000  episodes=     0  recent_return=0.00  win=0.00  buf=128
iter=   200  env_steps=    25600  eps=0.757  episodes=   410  recent_return=0.23  win=0.00  buf=25728
iter=   400  env_steps=    51200  eps=0.514  episodes=   854  recent_return=0.36  win=0.07  buf=51328
iter=   600  env_steps=    76800  eps=0.270  episodes=  1311  recent_return=0.35  win=0.14  buf=76928
iter=   800  env_steps=   102400  eps=0.050  episodes=  1782  recent_return=0.17  win=0.01  buf=100000
iter=  1000  env_steps=   128000  eps=0.050  episodes=  2218  recent_return=0.07  win=0.00  buf=100000
iter=  1200  env_steps=   153600  eps=0.050  episodes=  2677  recent_return=0.07  win=0.00  buf=100000
iter=  1400  env_steps=   179200  eps=0.050  episodes=  3108  recent_return=0.05  win=0.00  buf=100000
iter=  1600  env_steps=   204800  eps=0.050  episodes=  3548  recent_return=0.05  win=0.00  buf=100000
iter=  1800  env_steps=   230400  eps=0.050  episodes=  3969  recent_return=0.05  win=0.00  buf=100000
iter=  2000  env_steps=   256000  eps=0.050  episodes=  4439  recent_return=0.04  win=0.00  buf=100000
iter=  2200  env_steps=   281600  eps=0.050  episodes=  4866  recent_return=0.04  win=0.00  buf=100000
iter=  2400  env_steps=   307200  eps=0.050  episodes=  5289  recent_return=0.05  win=0.00  buf=100000
iter=  2600  env_steps=   332800  eps=0.050  episodes=  5734  recent_return=0.05  win=0.00  buf=100000
iter=  2800  env_steps=   358400  eps=0.050  episodes=  6139  recent_return=0.05  win=0.00  buf=100000
iter=  3000  env_steps=   384000  eps=0.050  episodes=  6596  recent_return=0.04  win=0.00  buf=100000
iter=  3200  env_steps=   409600  eps=0.050  episodes=  7057  recent_return=0.04  win=0.00  buf=100000
iter=  3400  env_steps=   435200  eps=0.050  episodes=  7509  recent_return=0.04  win=0.00  buf=100000
iter=  3600  env_steps=   460800  eps=0.050  episodes=  7935  recent_return=0.04  win=0.00  buf=100000
iter=  3800  env_steps=   486400  eps=0.050  episodes=  8388  recent_return=0.04  win=0.00  buf=100000
iter=  4000  env_steps=   512000  eps=0.050  episodes=  8823  recent_return=0.05  win=0.00  buf=100000
iter=  4200  env_steps=   537600  eps=0.050  episodes=  9258  recent_return=0.06  win=0.00  buf=100000
iter=  4400  env_steps=   563200  eps=0.050  episodes=  9672  recent_return=0.05  win=0.00  buf=100000
iter=  4600  env_steps=   588800  eps=0.050  episodes= 10114  recent_return=0.06  win=0.00  buf=100000
iter=  4800  env_steps=   614400  eps=0.050  episodes= 10544  recent_return=0.05  win=0.00  buf=100000
iter=  5000  env_steps=   640000  eps=0.050  episodes= 10968  recent_return=0.06  win=0.00  buf=100000
iter=  5200  env_steps=   665600  eps=0.050  episodes= 11408  recent_return=0.07  win=0.00  buf=100000
iter=  5400  env_steps=   691200  eps=0.050  episodes= 11823  recent_return=0.06  win=0.00  buf=100000
iter=  5600  env_steps=   716800  eps=0.050  episodes= 12239  recent_return=0.07  win=0.00  buf=100000
iter=  5800  env_steps=   742400  eps=0.050  episodes= 12667  recent_return=0.05  win=0.00  buf=100000
iter=  6000  env_steps=   768000  eps=0.050  episodes= 13068  recent_return=0.05  win=0.00  buf=100000
iter=  6200  env_steps=   793600  eps=0.050  episodes= 13459  recent_return=0.06  win=0.00  buf=100000
iter=  6400  env_steps=   819200  eps=0.050  episodes= 13840  recent_return=0.06  win=0.00  buf=100000
iter=  6600  env_steps=   844800  eps=0.050  episodes= 14251  recent_return=0.05  win=0.00  buf=100000
iter=  6800  env_steps=   870400  eps=0.050  episodes= 14634  recent_return=0.08  win=0.00  buf=100000
iter=  7000  env_steps=   896000  eps=0.050  episodes= 15024  recent_return=0.08  win=0.00  buf=100000
iter=  7200  env_steps=   921600  eps=0.050  episodes= 15401  recent_return=0.07  win=0.00  buf=100000
iter=  7400  env_steps=   947200  eps=0.050  episodes= 15802  recent_return=0.08  win=0.00  buf=100000
iter=  7600  env_steps=   972800  eps=0.050  episodes= 16223  recent_return=0.08  win=0.00  buf=100000
iter=  7800  env_steps=   998400  eps=0.050  episodes= 16625  recent_return=0.08  win=0.00  buf=100000
iter=  8000  env_steps=  1024000  eps=0.050  episodes= 17071  recent_return=0.08  win=0.00  buf=100000
iter=  8200  env_steps=  1049600  eps=0.050  episodes= 17531  recent_return=0.10  win=0.00  buf=100000
iter=  8400  env_steps=  1075200  eps=0.050  episodes= 17934  recent_return=0.14  win=0.00  buf=100000
iter=  8600  env_steps=  1100800  eps=0.050  episodes= 18361  recent_return=0.13  win=0.00  buf=100000
iter=  8800  env_steps=  1126400  eps=0.050  episodes= 18744  recent_return=0.14  win=0.00  buf=100000
iter=  9000  env_steps=  1152000  eps=0.050  episodes= 19165  recent_return=0.17  win=0.00  buf=100000
iter=  9200  env_steps=  1177600  eps=0.050  episodes= 19551  recent_return=0.16  win=0.00  buf=100000
iter=  9400  env_steps=  1203200  eps=0.050  episodes= 19947  recent_return=0.10  win=0.00  buf=100000
iter=  9600  env_steps=  1228800  eps=0.050  episodes= 20316  recent_return=0.20  win=0.00  buf=100000
iter=  9800  env_steps=  1254400  eps=0.050  episodes= 20694  recent_return=0.21  win=0.00  buf=100000
iter= 10000  env_steps=  1280000  eps=0.050  episodes= 21086  recent_return=0.24  win=0.00  buf=100000
iter= 10200  env_steps=  1305600  eps=0.050  episodes= 21525  recent_return=0.25  win=0.00  buf=100000
iter= 10400  env_steps=  1331200  eps=0.050  episodes= 21955  recent_return=0.21  win=0.00  buf=100000
iter= 10600  env_steps=  1356800  eps=0.050  episodes= 22398  recent_return=0.21  win=0.00  buf=100000
iter= 10800  env_steps=  1382400  eps=0.050  episodes= 22799  recent_return=0.29  win=0.00  buf=100000
iter= 11000  env_steps=  1408000  eps=0.050  episodes= 23200  recent_return=0.31  win=0.00  buf=100000
iter= 11200  env_steps=  1433600  eps=0.050  episodes= 23593  recent_return=0.38  win=0.06  buf=100000
iter= 11400  env_steps=  1459200  eps=0.050  episodes= 23987  recent_return=0.40  win=0.10  buf=100000
iter= 11600  env_steps=  1484800  eps=0.050  episodes= 24389  recent_return=0.40  win=0.13  buf=100000
iter= 11800  env_steps=  1510400  eps=0.050  episodes= 24792  recent_return=0.49  win=0.45  buf=100000
iter= 12000  env_steps=  1536000  eps=0.050  episodes= 25190  recent_return=0.49  win=0.48  buf=100000
iter= 12200  env_steps=  1561600  eps=0.050  episodes= 25593  recent_return=0.44  win=0.26  buf=100000
iter= 12400  env_steps=  1587200  eps=0.050  episodes= 25988  recent_return=0.43  win=0.28  buf=100000
iter= 12600  env_steps=  1612800  eps=0.050  episodes= 26395  recent_return=0.39  win=0.11  buf=100000
iter= 12800  env_steps=  1638400  eps=0.050  episodes= 26811  recent_return=0.38  win=0.11  buf=100000
iter= 13000  env_steps=  1664000  eps=0.050  episodes= 27232  recent_return=0.37  win=0.07  buf=100000
iter= 13200  env_steps=  1689600  eps=0.050  episodes= 27633  recent_return=0.33  win=0.07  buf=100000
iter= 13400  env_steps=  1715200  eps=0.050  episodes= 28044  recent_return=0.30  win=0.02  buf=100000
iter= 13600  env_steps=  1740800  eps=0.050  episodes= 28454  recent_return=0.15  win=0.00  buf=100000
